datetime,open,high,low,close,volume
2023-12-19 08:45:00,98300,98499,98300,98499,40
2023-12-19 09:00:00,98328,98328,98164,98190,270
2023-12-19 09:15:00,98194,98257,98194,98251,299
2023-12-19 09:30:00,98280,98321,98269,98290,55
2023-12-19 09:45:00,98290,98290,98122,98131,206
2023-12-19 10:00:00,98131,98269,97972,98241,951
2023-12-19 10:15:00,98253,98313,98188,98283,1156
2023-12-19 10:30:00,98283,98536,98250,98502,1613
2023-12-19 10:45:00,98487,98596,98404,98501,4973
2023-12-19 11:00:00,98501,98501,98081,98081,2124
2023-12-19 11:15:00,98081,98255,98045,98219,2217
2023-12-19 11:30:00,98219,98388,98109,98376,2333
2023-12-19 11:45:00,98365,98480,98318,98378,2099
2023-12-19 12:00:00,98371,98375,98045,98133,3839
2023-12-19 12:15:00,98123,98514,98121,98451,40276
2023-12-19 12:30:00,98458,98610,98435,98543,4039
2023-12-19 12:45:00,98543,98618,98462,98480,2790
2023-12-19 13:00:00,98480,98584,98442,98544,2091
2023-12-19 13:15:00,98544,98656,98470,98635,2046
2023-12-19 13:30:00,98635,98773,98530,98757,2883
2023-12-19 13:45:00,98758,98865,98651,98842,2389
2023-12-19 14:00:00,98867,98882,98809,98821,294
2023-12-19 14:15:00,98817,98839,98696,98706,521
2023-12-19 14:30:00,98721,98810,98612,98810,8938
2023-12-19 14:45:00,98810,99179,98810,99176,5561
2023-12-19 15:00:00,99166,99472,99166,99438,11699
2023-12-19 15:15:00,99429,99448,99251,99323,7817
2023-12-19 15:30:00,99306,99415,99276,99340,6381
2023-12-19 15:45:00,99341,99478,99271,99472,4911
2023-12-19 16:00:00,99478,99478,99279,99322,986
2023-12-19 16:15:00,99311,99404,99294,99367,1044
2023-12-19 16:30:00,99377,99434,99276,99324,1353
2023-12-19 16:45:00,99324,99412,99300,99354,471
2023-12-19 17:00:00,99381,99401,99200,99200,277
2023-12-19 17:15:00,99193,99410,99148,99361,621
2023-12-19 17:30:00,99360,99373,99150,99186,1527
2023-12-19 17:45:00,99160,99349,99153,99322,346
2023-12-19 18:00:00,99330,99417,99239,99387,204
2023-12-19 18:15:00,99380,99415,99252,99357,999
2023-12-19 18:30:00,99357,99470,99357,99428,395
2023-12-19 18:45:00,99430,99430,99350,99350,92
2023-12-19 19:00:00,99445,99474,99337,99414,77
2023-12-19 19:15:00,99402,99460,99402,99410,108
2023-12-19 19:30:00,99411,99551,99371,99480,721
2023-12-19 19:45:00,99522,99695,99508,99532,288
2023-12-19 20:00:00,99532,99700,99532,99609,193
2023-12-19 20:15:00,99629,99636,99584,99585,107
2023-12-19 20:30:00,99620,99624,99567,99567,17
2023-12-19 20:45:00,99567,99567,99448,99448,131
2023-12-19 21:00:00,99494,99534,99411,99426,206
2023-12-19 21:15:00,99455,99482,99435,99435,90
2023-12-19 21:30:00,99435,99437,99400,99425,174
2023-12-19 21:45:00,99440,99440,99407,99410,18
2023-12-19 22:00:00,99407,99555,99400,99517,19
2023-12-19 22:15:00,99493,99517,99479,99517,44
2023-12-19 22:30:00,99561,99561,99530,99545,52
2023-12-19 22:45:00,99545,99610,99544,99610,48
2023-12-19 23:00:00,99614,99616,99605,99610,20
2023-12-19 23:15:00,99604,99604,99542,99542,98
2023-12-19 23:30:00,99541,99570,99525,99561,91
2023-12-19 23:45:00,99551,99551,99545,99545,20
2023-12-20 09:00:00,99490,99570,99400,99400,313
2023-12-20 09:15:00,99400,99400,99300,99361,305
2023-12-20 09:30:00,99361,99363,99121,99201,374
2023-12-20 09:45:00,99200,99385,99151,99385,204
2023-12-20 10:00:00,99331,99391,99127,99202,859
2023-12-20 10:15:00,99200,99450,99054,99444,2631
2023-12-20 10:30:00,99448,99672,99441,99515,4452
2023-12-20 10:45:00,99511,99914,99501,99834,3629
2023-12-20 11:00:00,99834,99936,99826,99834,2029
2023-12-20 11:15:00,99834,99974,99820,99923,5234
2023-12-20 11:30:00,99923,99973,99842,99875,2270
2023-12-20 11:45:00,99874,99970,99840,99934,2905
2023-12-20 12:00:00,99936,99972,99877,99895,2710
2023-12-20 12:15:00,99897,99925,99799,99910,4296
2023-12-20 12:30:00,99909,99995,99822,99980,3215
2023-12-20 12:45:00,99980,100028,99876,100008,3445
2023-12-20 13:00:00,100008,100066,99809,99839,3138
2023-12-20 13:15:00,99839,99896,99776,99862,9684
2023-12-20 13:30:00,99845,99938,99772,99862,7184
2023-12-20 13:45:00,99847,99896,99780,99787,2389
2023-12-20 14:00:00,99788,99929,99740,99760,3602
2023-12-20 14:15:00,99756,99760,99629,99661,2366
2023-12-20 14:30:00,99661,99729,99661,99723,755
2023-12-20 14:45:00,99726,99861,99722,99747,5204
2023-12-20 15:00:00,99743,99918,99735,99899,2309
2023-12-20 15:15:00,99895,99960,99770,99900,2526
2023-12-20 15:30:00,99913,99913,99716,99868,9657
2023-12-20 15:45:00,99868,99890,99610,99633,6399
2023-12-20 16:00:00,99631,99780,99495,99673,11329
2023-12-20 16:15:00,99662,99800,99645,99795,3044
2023-12-20 16:30:00,99791,99791,99681,99698,1053
2023-12-20 16:45:00,99701,99838,99701,99800,7265
2023-12-20 17:00:00,99800,99922,99797,99887,5400
2023-12-20 17:15:00,99909,99932,99840,99878,4181
2023-12-20 17:30:00,99859,99863,99760,99823,3488
2023-12-20 17:45:00,99808,99852,99760,99824,3938
2023-12-20 18:00:00,99818,99857,99556,99687,14612
2023-12-20 18:15:00,99687,99727,99637,99673,934
2023-12-20 18:30:00,99678,99946,99668,99933,2671
2023-12-20 18:45:00,99936,99983,99900,99970,575
2023-12-20 19:00:00,100048,100186,99916,100096,506
2023-12-20 19:15:00,100085,100263,100071,100154,753
2023-12-20 19:30:00,100150,100156,99998,100060,562
2023-12-20 19:45:00,100060,100109,100006,100089,655
2023-12-20 20:00:00,100087,100089,100051,100079,195
2023-12-20 20:15:00,100079,100197,100054,100163,450
2023-12-20 20:30:00,100165,100218,100133,100196,272
2023-12-20 20:45:00,100200,100250,100131,100205,267
2023-12-20 21:00:00,100212,100216,100140,100168,161
2023-12-20 21:15:00,100168,100180,100125,100180,143
2023-12-20 21:30:00,100180,100225,100149,100149,277
2023-12-20 21:45:00,100185,100276,100185,100237,180
2023-12-20 22:00:00,100208,100247,100190,100240,161
2023-12-20 22:15:00,100226,100240,100161,100228,194
2023-12-20 22:30:00,100229,100229,100126,100159,181
2023-12-20 22:45:00,100160,100164,100000,100104,364
2023-12-20 23:00:00,100123,100146,100020,100110,314
2023-12-20 23:15:00,100111,100142,100005,100142,285
2023-12-20 23:30:00,100142,100160,100055,100067,393
2023-12-20 23:45:00,100101,100183,100013,100179,296
2023-12-21 08:45:00,99859,99859,99859,99859,18
2023-12-21 09:00:00,99830,100078,99750,99995,1936
2023-12-21 09:15:00,100002,100053,99865,100042,1689
2023-12-21 09:30:00,100042,100100,100018,100069,1006
2023-12-21 09:45:00,100067,100114,99959,99970,1835
2023-12-21 10:00:00,99970,100027,99774,99787,4573
2023-12-21 10:15:00,99787,99903,99740,99889,2576
2023-12-21 10:30:00,99895,100120,99877,100092,3132
2023-12-21 10:45:00,100089,100148,100072,100095,4105
2023-12-21 11:00:00,100088,100228,100072,100225,6669
2023-12-21 11:15:00,100222,100225,100030,100086,10831
2023-12-21 11:30:00,100086,100181,100012,100159,28041
2023-12-21 11:45:00,100158,100243,100094,100208,11098
2023-12-21 12:00:00,100209,100580,100208,100447,9544
2023-12-21 12:15:00,100451,101479,100447,101387,30466
2023-12-21 12:30:00,101383,101681,100897,101021,15763
2023-12-21 12:45:00,101023,101098,101000,101067,4271
2023-12-21 13:00:00,101067,101081,100938,101000,3221
2023-12-21 13:15:00,101000,101200,100962,101131,4800
2023-12-21 13:30:00,101131,101470,101116,101361,6588
2023-12-21 13:45:00,101380,101409,101306,101337,4869
2023-12-21 14:00:00,101316,101600,101290,101320,3656
2023-12-21 14:15:00,101301,101550,101296,101473,5562
2023-12-21 14:30:00,101469,101681,101457,101582,5575
2023-12-21 14:45:00,101590,101606,101367,101467,8331
2023-12-21 15:00:00,101467,101666,101419,101635,6119
2023-12-21 15:15:00,101634,101668,101510,101574,4610
2023-12-21 15:30:00,101571,101915,101535,101903,6335
2023-12-21 15:45:00,101900,102041,101582,101644,10078
2023-12-21 16:00:00,101644,101699,101321,101556,6807
2023-12-21 16:15:00,101557,101651,101482,101648,9761
2023-12-21 16:30:00,101641,101773,101562,101613,13535
2023-12-21 16:45:00,101614,101699,101578,101614,7080
2023-12-21 17:00:00,101615,101658,101439,101440,4304
2023-12-21 17:15:00,101461,101461,101278,101317,3418
2023-12-21 17:30:00,101313,101313,101154,101277,7740
2023-12-21 17:45:00,101275,101425,101176,101422,4007
2023-12-21 18:00:00,101422,101500,101396,101461,3652
