datetime,open,high,low,close,volume
2023-12-19 08:45:00,90470,90470,90450,90465,70
2023-12-19 09:00:00,90470,90505,90327,90452,1959
2023-12-19 09:15:00,90452,90552,90441,90531,1495
2023-12-19 09:30:00,90530,90566,90481,90559,1432
2023-12-19 09:45:00,90559,90569,90315,90341,1768
2023-12-19 10:00:00,90338,90430,90150,90414,6103
2023-12-19 10:15:00,90414,90420,90305,90363,3991
2023-12-19 10:30:00,90367,90650,90327,90599,4141
2023-12-19 10:45:00,90599,90649,90253,90599,11880
2023-12-19 11:00:00,90591,90621,90258,90283,8997
2023-12-19 11:15:00,90268,90299,90215,90267,6529
2023-12-19 11:30:00,90267,90447,90178,90426,8527
2023-12-19 11:45:00,90421,90480,90365,90398,4407
2023-12-19 12:00:00,90392,90392,90174,90199,22177
2023-12-19 12:15:00,90199,90485,90181,90433,24812
2023-12-19 12:30:00,90450,90668,90428,90568,10238
2023-12-19 12:45:00,90569,90638,90565,90615,11122
2023-12-19 13:00:00,90617,90650,90583,90600,5819
2023-12-19 13:15:00,90599,90625,90500,90600,7191
2023-12-19 13:30:00,90611,90750,90598,90750,8519
2023-12-19 13:45:00,90750,90820,90650,90801,6668
2023-12-19 14:00:00,90801,90900,90787,90861,3701
2023-12-19 14:15:00,90864,90879,90837,90858,3519
2023-12-19 14:30:00,90862,90904,90849,90904,6023
2023-12-19 14:45:00,90904,91150,90904,91112,7187
2023-12-19 15:00:00,91117,91292,91117,91265,10548
2023-12-19 15:15:00,91266,91290,91072,91160,8136
2023-12-19 15:30:00,91170,91218,91128,91201,5929
2023-12-19 15:45:00,91201,91276,91192,91254,9795
2023-12-19 16:00:00,91258,91333,91172,91200,6044
2023-12-19 16:15:00,91202,91348,91202,91317,2937
2023-12-19 16:30:00,91325,91373,91267,91338,5512
2023-12-19 16:45:00,91338,91372,91287,91354,2791
2023-12-19 17:00:00,91354,91375,91170,91179,7192
2023-12-19 17:15:00,91178,91385,91119,91314,4208
2023-12-19 17:30:00,91315,91335,91100,91144,4802
2023-12-19 17:45:00,91132,91230,91096,91211,4595
2023-12-19 18:00:00,91220,91287,91160,91251,4604
2023-12-19 18:15:00,91251,91284,91236,91260,3172
2023-12-19 18:30:00,91260,91333,91257,91311,2340
2023-12-19 18:45:00,91294,91294,91209,91240,1331
2023-12-19 19:00:00,91201,91270,91097,91270,767
2023-12-19 19:15:00,91270,91360,91270,91341,1398
2023-12-19 19:30:00,91342,91440,91328,91431,1918
2023-12-19 19:45:00,91435,91553,91400,91427,3173
2023-12-19 20:00:00,91427,91500,91427,91471,918
2023-12-19 20:15:00,91471,91486,91427,91445,500
2023-12-19 20:30:00,91447,91497,91409,91433,1379
2023-12-19 20:45:00,91427,91429,91293,91387,2173
2023-12-19 21:00:00,91389,91450,91300,91385,1064
2023-12-19 21:15:00,91381,91461,91358,91379,563
2023-12-19 21:30:00,91378,91379,91320,91323,557
2023-12-19 21:45:00,91323,91334,91286,91302,534
2023-12-19 22:00:00,91303,91441,91300,91387,498
2023-12-19 22:15:00,91387,91525,91285,91440,1107
2023-12-19 22:30:00,91437,91440,91406,91408,183
2023-12-19 22:45:00,91408,91439,91407,91423,119
2023-12-19 23:00:00,91407,91463,91407,91423,244
2023-12-19 23:15:00,91423,91427,91344,91363,382
2023-12-19 23:30:00,91362,91454,91284,91360,685
2023-12-19 23:45:00,91355,91400,91320,91400,156
2023-12-20 08:45:00,91304,91345,91304,91332,25
2023-12-20 09:00:00,91360,91465,91320,91371,4078
2023-12-20 09:15:00,91370,91371,91196,91331,3223
2023-12-20 09:30:00,91331,91332,91169,91195,2651
2023-12-20 09:45:00,91190,91345,91116,91323,3330
2023-12-20 10:00:00,91323,91420,91200,91210,6951
2023-12-20 10:15:00,91216,91403,91145,91403,12985
2023-12-20 10:30:00,91400,91551,91400,91465,22549
2023-12-20 10:45:00,91462,92000,91441,91849,27894
2023-12-20 11:00:00,91848,92058,91834,91864,19326
2023-12-20 11:15:00,91864,92081,91849,91962,10828
2023-12-20 11:30:00,91962,92024,91933,91982,6150
2023-12-20 11:45:00,91984,92049,91978,92010,5023
2023-12-20 12:00:00,92016,92091,92000,92011,8090
2023-12-20 12:15:00,92011,92029,91965,91988,9693
2023-12-20 12:30:00,91988,92039,91988,92020,5644
2023-12-20 12:45:00,92020,92075,92016,92074,6854
2023-12-20 13:00:00,92074,92100,91946,91958,9358
2023-12-20 13:15:00,91958,91960,91866,91900,9298
2023-12-20 13:30:00,91900,91940,91878,91900,16672
2023-12-20 13:45:00,91900,91900,91890,91897,21252
2023-12-20 14:00:00,91898,91990,91898,91939,10456
2023-12-20 14:15:00,91939,91940,91897,91899,8656
2023-12-20 14:30:00,91899,91900,91866,91900,16203
2023-12-20 14:45:00,91900,92074,91896,91999,15902
2023-12-20 15:00:00,91999,92185,91983,92178,29649
2023-12-20 15:15:00,92177,92180,92119,92156,28459
2023-12-20 15:30:00,92156,92160,92004,92114,26210
2023-12-20 15:45:00,92114,92119,91890,91895,20639
2023-12-20 16:00:00,91895,91940,91703,91850,45186
2023-12-20 16:15:00,91850,91950,91841,91947,16944
2023-12-20 16:30:00,91937,91950,91837,91849,32462
2023-12-20 16:45:00,91848,91850,91841,91850,7408
2023-12-20 17:00:00,91850,91929,91835,91912,19884
2023-12-20 17:15:00,91917,91998,91911,91971,9238
2023-12-20 17:30:00,91978,91988,91801,91850,32919
2023-12-20 17:45:00,91850,91850,91750,91796,18909
2023-12-20 18:00:00,91800,91900,91648,91758,80237
2023-12-20 18:15:00,91769,91795,91708,91779,7939
2023-12-20 18:30:00,91775,91900,91748,91891,11114
2023-12-20 18:45:00,91897,91963,91878,91949,1765
2023-12-20 19:00:00,91907,92158,91858,92006,5230
2023-12-20 19:15:00,92007,92127,92000,92005,3768
2023-12-20 19:30:00,92008,92040,91910,91990,3430
2023-12-20 19:45:00,91983,92090,91950,92022,3028
2023-12-20 20:00:00,92024,92046,91991,92018,2049
2023-12-20 20:15:00,92018,92050,91980,92025,1037
2023-12-20 20:30:00,92030,92075,92025,92072,1022
2023-12-20 20:45:00,92072,92078,92000,92038,651
2023-12-20 21:00:00,92042,92054,91998,92022,703
2023-12-20 21:15:00,92001,92036,91950,92022,1108
2023-12-20 21:30:00,92022,92071,92019,92031,603
2023-12-20 21:45:00,92041,92117,92025,92087,1338
2023-12-20 22:00:00,92088,92100,92069,92070,558
2023-12-20 22:15:00,92069,92070,92000,92014,687
2023-12-20 22:30:00,92008,92124,91963,92006,1849
2023-12-20 22:45:00,92006,92077,91903,92067,1658
2023-12-20 23:00:00,92066,92070,91981,92034,702
2023-12-20 23:15:00,92034,92070,92033,92069,1137
2023-12-20 23:30:00,92070,92070,92050,92069,1191
2023-12-20 23:45:00,92069,92088,92044,92088,519
2023-12-21 08:45:00,91798,91948,91745,91745,682
2023-12-21 09:00:00,91790,91935,91652,91880,10483
2023-12-21 09:15:00,91883,91989,91811,91943,4916
2023-12-21 09:30:00,91942,91960,91895,91900,3500
2023-12-21 09:45:00,91900,91961,91856,91929,6103
2023-12-21 10:00:00,91926,92030,91661,91664,67077
2023-12-21 10:15:00,91666,91791,91617,91789,50646
2023-12-21 10:30:00,91789,92009,91781,91977,35672
2023-12-21 10:45:00,91975,92038,91915,91943,27973
2023-12-21 11:00:00,91938,92077,91900,91991,27470
2023-12-21 11:15:00,91993,92000,91732,91750,109112
2023-12-21 11:30:00,91750,91859,91668,91837,59005
2023-12-21 11:45:00,91839,92044,91812,92013,35576
2023-12-21 12:00:00,92012,92355,91989,92212,63757
2023-12-21 12:15:00,92218,92884,92213,92809,111104
2023-12-21 12:30:00,92807,93205,92622,92641,129097
2023-12-21 12:45:00,92642,92700,92640,92699,32299
2023-12-21 13:00:00,92699,92700,92550,92598,27175
2023-12-21 13:15:00,92598,92850,92557,92755,30357
2023-12-21 13:30:00,92758,92800,92669,92758,28817
2023-12-21 13:45:00,92760,92863,92658,92735,28720
2023-12-21 14:00:00,92748,92886,92624,92660,27781
2023-12-21 14:15:00,92657,92700,92631,92699,13814
2023-12-21 14:30:00,92699,92750,92614,92650,23405
2023-12-21 14:45:00,92649,92677,92470,92662,32038
2023-12-21 15:00:00,92662,92687,92572,92625,29135
2023-12-21 15:15:00,92629,92646,92470,92485,24072
2023-12-21 15:30:00,92484,92738,92445,92725,50994
2023-12-21 15:45:00,92724,92781,92428,92492,37495
2023-12-21 16:00:00,92492,92527,92370,92424,30841
2023-12-21 16:15:00,92425,92475,92416,92450,33670
2023-12-21 16:30:00,92450,92550,92280,92399,34037
2023-12-21 16:45:00,92399,92543,92396,92440,24828
2023-12-21 17:00:00,92440,92450,92339,92367,29391
2023-12-21 17:15:00,92364,92401,92241,92305,18089
2023-12-21 17:30:00,92305,92323,92120,92195,24123
2023-12-21 17:45:00,92194,92320,92100,92314,15845
2023-12-21 18:00:00,92315,92450,92300,92351,21138
2023-12-21 18:15:00,92351,92384,92250,92337,12049
2023-12-21 18:30:00,92336,92344,92230,92281,7079
2023-12-21 18:45:00,92281,92291,92223,92230,2506
2023-12-21 19:00:00,92300,92323,92150,92271,4610
2023-12-21 19:15:00,92271,92279,92204,92225,2206
2023-12-21 19:30:00,92225,92240,92215,92220,1589
