datetime,open,high,low,close,volume
2023-12-13 08:45:00,93004,93004,93004,93004,1
2023-12-13 09:00:00,93004,93004,92690,92862,48
2023-12-13 09:15:00,92851,92859,92851,92854,5
2023-12-13 09:30:00,92872,92877,92866,92866,5
2023-12-13 09:45:00,92900,93238,92900,93080,35
2023-12-13 10:00:00,93080,93134,93080,93096,83
2023-12-13 10:15:00,92955,93097,92955,93097,4
2023-12-13 10:30:00,93000,93000,92872,92878,8
2023-12-13 10:45:00,92953,92953,92908,92908,10
2023-12-13 11:00:00,92876,92892,92708,92730,40
2023-12-13 11:15:00,92730,92730,92671,92690,66
2023-12-13 11:30:00,92710,92710,92652,92652,18
2023-12-13 11:45:00,92703,92729,92625,92728,25
2023-12-13 12:00:00,92724,93000,92723,92967,13
2023-12-13 12:15:00,92986,93077,92985,93077,7
2023-12-13 12:30:00,93050,93089,92897,92897,38
2023-12-13 12:45:00,92867,92867,92800,92800,8
2023-12-13 13:00:00,92907,92907,92774,92805,5
2023-12-13 13:15:00,92778,92795,92680,92746,10
2023-12-13 13:30:00,92665,92737,92600,92737,122
2023-12-13 13:45:00,92744,92744,92669,92677,29
2023-12-13 14:00:00,92792,92792,92650,92650,30
2023-12-13 14:15:00,92650,92663,92646,92646,9
2023-12-13 14:30:00,92646,92646,92550,92550,38
2023-12-13 14:45:00,92539,92691,92490,92691,36
2023-12-13 15:00:00,92664,92700,92537,92543,20
2023-12-13 15:15:00,92600,92600,92561,92598,3
2023-12-13 15:30:00,92608,92617,92590,92615,45
2023-12-13 15:45:00,92627,92627,92573,92573,16
2023-12-13 16:00:00,92550,92564,92470,92540,22
2023-12-13 16:15:00,92548,92548,92489,92493,41
2023-12-13 16:30:00,92521,92521,92430,92430,16
2023-12-13 16:45:00,92596,92596,92596,92596,1
2023-12-13 17:00:00,92533,92603,92481,92603,6
2023-12-13 17:15:00,92678,92678,92678,92678,1
2023-12-13 17:30:00,92661,92710,92660,92710,6
2023-12-13 17:45:00,92736,92739,92715,92715,16
2023-12-13 18:00:00,92731,92765,92718,92765,13
2023-12-13 18:15:00,92799,92839,92634,92634,38
2023-12-13 18:30:00,92691,92724,92684,92724,6
2023-12-13 18:45:00,92731,92731,92731,92731,1
2023-12-13 19:00:00,92926,93040,92902,92902,8
2023-12-13 19:15:00,92894,92894,92827,92883,6
2023-12-13 19:30:00,92857,92857,92857,92857,1
2023-12-13 19:45:00,92805,92844,92740,92844,15
2023-12-13 20:00:00,92861,93011,92861,92939,15
2023-12-13 20:15:00,92899,92899,92898,92898,2
2023-12-13 20:45:00,92932,92940,92625,92830,122
2023-12-13 21:00:00,92804,92804,92804,92804,1
2023-12-13 21:30:00,92810,92818,92810,92811,4
2023-12-13 21:45:00,92811,92811,92810,92811,6
2023-12-13 22:00:00,92732,92732,92562,92562,28
2023-12-13 22:15:00,92554,92597,92515,92597,19
2023-12-13 22:30:00,92605,92645,92554,92599,16
2023-12-13 22:45:00,92556,92556,92554,92554,2
2023-12-13 23:00:00,92551,92551,92535,92538,6
2023-12-13 23:15:00,92520,92520,92411,92411,26
2023-12-13 23:45:00,92473,92473,92473,92473,1
2023-12-14 08:45:00,92410,92410,92362,92362,4
2023-12-14 09:00:00,92353,92382,92190,92326,102
2023-12-14 09:15:00,92301,92308,92278,92296,25
2023-12-14 09:30:00,92290,92309,92290,92309,49
2023-12-14 09:45:00,92324,92377,92324,92377,6
2023-12-14 10:00:00,92377,92450,92288,92418,206
2023-12-14 10:15:00,92450,92460,92400,92400,55
2023-12-14 10:30:00,92400,92408,92361,92361,3
2023-12-14 10:45:00,92405,92405,92345,92403,19
2023-12-14 11:00:00,92376,92376,92250,92265,60
2023-12-14 11:15:00,92250,92266,92230,92258,21
2023-12-14 11:30:00,92234,92240,92222,92224,48
2023-12-14 11:45:00,92250,92278,92250,92250,34
2023-12-14 12:00:00,92318,92367,92318,92367,12
2023-12-14 12:15:00,92360,92400,92360,92381,60
2023-12-14 12:30:00,92401,92415,92381,92415,26
2023-12-14 12:45:00,92416,92688,92416,92688,69
2023-12-14 13:00:00,92668,92902,92668,92902,130
2023-12-14 13:15:00,92902,93040,92890,92890,34
2023-12-14 13:30:00,92933,92980,92849,92849,20
2023-12-14 13:45:00,92846,92846,92698,92706,10
2023-12-14 14:00:00,92807,92870,92786,92786,29
2023-12-14 14:15:00,92760,92760,92698,92698,7
2023-12-14 14:30:00,92749,92772,92690,92690,39
2023-12-14 14:45:00,92650,92716,92648,92648,119
2023-12-14 15:00:00,92650,92650,92611,92615,43
2023-12-14 15:15:00,92614,92615,92600,92615,138
2023-12-14 15:30:00,92670,92690,92670,92674,19
2023-12-14 15:45:00,92680,92776,92672,92776,20
2023-12-14 16:00:00,92801,92863,92762,92763,19
2023-12-14 16:15:00,92800,92803,92800,92802,9
2023-12-14 16:30:00,92840,92851,92840,92851,8
2023-12-14 16:45:00,92870,92871,92870,92870,5
2023-12-14 17:00:00,92852,92852,92816,92826,31
2023-12-14 17:15:00,92902,93093,92902,93093,16
2023-12-14 17:30:00,93022,93259,93016,93233,78
2023-12-14 17:45:00,93233,93233,93162,93162,54
2023-12-14 18:00:00,93100,93266,93010,93249,12
2023-12-14 18:15:00,93094,93094,93000,93000,6
2023-12-14 18:30:00,93017,93017,92979,92979,2
2023-12-14 18:45:00,92979,92987,92979,92979,151
2023-12-14 19:00:00,93019,93053,93019,93022,10
2023-12-14 19:15:00,93138,93147,93067,93139,5
2023-12-14 19:30:00,93150,93150,93123,93123,4
2023-12-14 19:45:00,93156,93156,93156,93156,1
2023-12-14 20:00:00,93162,93198,93086,93090,15
